MonthYear,Region,Organization,Type 1,Type 2,Type 3,Total Attendances,Type 1 < 4h,Type 2 < 4h,Type 3 < 4h,Total Attendances < 4h,Type 1 > 4h,Type 2 > 4h,Type 3 > 4h,Total Attendances > 4 hours,Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,>4h decision to admit,>12h decision to admit,Year,CovidPeriod,Within_4h_%,Over_4h_%,Type1_Over4h_%,Type1_Under4h_%
2015-06-01,Midlands England,George Eliot Hospital NHS Trust,5793.0,0.0,0.0,5793.0,5515.0,0.0,0.0,5515.0,278.0,0.0,0.0,278.0,1081.0,0.0,0.0,1081.0,54.0,1135.0,63.0,0.0,2015,Pre-COVID,95.201104781633,4.798895218366995,4.798895218366995,95.201104781633
2015-06-01,Midlands England,Coventry NHS Healthcare Ctr,0.0,0.0,4810.0,4810.0,0.0,0.0,4810.0,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,Coventry And Warwickshire Partnership NHS Trust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,96.0,0.0,0.0,2015,Pre-COVID,,,,
2015-06-01,Midlands England,Birmingham Women's NHS Foundation Trust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,174.0,0.0,0.0,2015,Pre-COVID,,,,
2015-06-01,Midlands England,Birmingham Wic,0.0,0.0,3066.0,3066.0,0.0,0.0,3066.0,3066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,Birmingham Community Healthcare NHS Trust,0.0,551.0,0.0,551.0,0.0,551.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,Birmingham Children's Hospital NHS Foundation Trust,4239.0,0.0,0.0,4239.0,4195.0,0.0,0.0,4195.0,44.0,0.0,0.0,44.0,788.0,0.0,0.0,788.0,331.0,1119.0,0.0,0.0,2015,Pre-COVID,98.96201934418495,1.0379806558150506,1.0379806558150506,98.96201934418495
2015-06-01,Midlands England,Assura Vertis Urgent Care Centres (Birmingham),0.0,0.0,5025.0,5025.0,0.0,0.0,5025.0,5025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,University Hospitals Of North Midlands NHS Trust,10924.0,420.0,8799.0,20143.0,8911.0,420.0,8606.0,17937.0,2013.0,0.0,193.0,2206.0,3937.0,0.0,589.0,4526.0,1927.0,6453.0,365.0,15.0,2015,Pre-COVID,89.04830462195304,10.951695378046965,18.427316001464664,81.57268399853534
2015-06-01,Midlands England,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,2015,Pre-COVID,,,,
